Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.6166666666666667
KNN5,0.4666666666666667
KNN5 CV,0.55
KNN7,0.4666666666666667
KNN7 CV,0.5
SVC,0.4
SVC CV,0.5666666666666667
NB,0.4666666666666667
NB CV,0.55
LR,0.4
LR CV,0.6166666666666667
LDA GA,0.5333333333333333
LDA GA CV,0.6333333333333334
KNN5 GA,0.4
KNN5 GA CV,0.5833333333333333
KNN7 GA,0.3333333333333333
KNN7 GA CV,0.5166666666666667
SVC GA,0.3333333333333333
SVC GA CV,0.5833333333333333
NB GA,0.6
NB GA CV,0.6833333333333332
LR GA,0.4
LR GA CV,0.55
MV,0.4
MV_GA,0.5333333333333333
MV_ALL,0.4
STACKING,0.4
OSTACKING ,0.4
OSTACKING GA,0.3333333333333333
OSTACKING ALL,0.4666666666666667
MV CV,0.6
MV_GA CV,0.7166666666666666
MV_ALL CV,0.6333333333333333
OSTACKING  CV,0.5666666666666667
OSTACKING GA CV,0.5833333333333333
OSTACKING ALL CV,0.6
