Classifier,Success Rate
LDA,0.4
LDA CV,0.6166666666666666
KNN-5,0.4666666666666667
KNN-5 CV,0.6500000000000001
KNN-7,0.4
KNN-7 CV,0.6000000000000001
SVC,0.26666666666666666
SVC CV,0.7499999999999999
NB,0.4666666666666667
NB CV,0.5666666666666667
LR,0.4666666666666667
LR CV,0.5333333333333333
LDA GA,0.5333333333333333
LDA GA CV,0.6833333333333333
KNN5 GA,0.5333333333333333
KNN5 GA CV,0.65
KNN7 GA,0.4666666666666667
KNN7 GA CV,0.5833333333333333
SVC GA,0.3333333333333333
SVC GA CV,0.6166666666666666
NB GA,0.6
NB GA CV,0.7166666666666667
LR GA,0.3333333333333333
LR GA CV,0.6166666666666667
MV,0.4
MV_GA,0.4
MV_ALL,0.4
STACKING,0.4
OSTACKING ,0.4666666666666667
OSTACKING GA,0.4666666666666667
OSTACKING ALL,0.5333333333333333
MV CV,0.7333333333333333
MV GA CV,0.5333333333333333
MV ALL CV,0.6666666666666666
OSTACKING CV,0.6
OSTACKING GA CV,0.6
OSTACKING ALL CV,0.6
