Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.5166666666666666
SVC,0.6
SVC CV,0.5666666666666667
NB,0.4
NB CV,0.4166666666666667
LR,0.4666666666666667
LR CV,0.55
LDA GA,0.4
LDA GA CV,0.6
SVC GA,0.2
SVC GA CV,0.36666666666666664
NB GA,0.6
NB GA CV,0.5
LR GA,0.4666666666666667
LR GA CV,0.6666666666666666
MV,0.6
MV_GA,0.4
MV_ALL,0.4
STACKING,0.3333333333333333
OSTACKING ,0.5333333333333333
OSTACKING GA,0.4666666666666667
OSTACKING ALL,0.4666666666666667
MV CV,0.4833333333333334
MV_GA CV,0.6166666666666666
MV_ALL CV,0.5333333333333334
OSTACKING  CV,0.5333333333333333
OSTACKING GA CV,0.6166666666666666
OSTACKING ALL CV,0.5499999999999999
