Classifier,Success Rate
LDA,0.5333333333333333
LDA CV,0.4833333333333333
KNN5,0.4666666666666667
KNN5 CV,0.55
KNN7,0.6
KNN7 CV,0.5166666666666666
SVC,0.4666666666666667
SVC CV,0.6166666666666667
NB,0.6
NB CV,0.5833333333333334
LR,0.5333333333333333
LR CV,0.5166666666666667
LDA GA,0.3333333333333333
LDA GA CV,0.55
KNN5 GA,0.5333333333333333
KNN5 GA CV,0.6
KNN7 GA,0.4666666666666667
KNN7 GA CV,0.55
SVC GA,0.4666666666666667
SVC GA CV,0.6
NB GA,0.5333333333333333
NB GA CV,0.6333333333333334
LR GA,0.4666666666666667
LR GA CV,0.55
MV,0.5333333333333333
MV_GA,0.4666666666666667
MV_ALL,0.5333333333333333
STACKING,0.4666666666666667
OSTACKING ,0.4666666666666667
OSTACKING GA,0.5333333333333333
OSTACKING ALL,0.4
MV CV,0.5666666666666667
MV_GA CV,0.55
MV_ALL CV,0.5833333333333333
OSTACKING  CV,0.5666666666666667
OSTACKING GA CV,0.5166666666666667
OSTACKING ALL CV,0.55
