Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.5833333333333333
KNN5,0.5333333333333333
KNN5 CV,0.4833333333333334
KNN7,0.4666666666666667
KNN7 CV,0.5333333333333333
SVC,0.4
SVC CV,0.6166666666666667
NB,0.4666666666666667
NB CV,0.5833333333333333
LR,0.4
LR CV,0.6333333333333334
LDA GA,0.5333333333333333
LDA GA CV,0.6166666666666667
KNN5 GA,0.5333333333333333
KNN5 GA CV,0.6
KNN7 GA,0.6
KNN7 GA CV,0.55
SVC GA,0.6
SVC GA CV,0.6666666666666667
NB GA,0.5333333333333333
NB GA CV,0.6333333333333333
LR GA,0.4666666666666667
LR GA CV,0.7333333333333333
MV,0.4666666666666667
MV_GA,0.6
MV_ALL,0.4666666666666667
STACKING,0.4666666666666667
OSTACKING ,0.4
OSTACKING GA,0.4
OSTACKING ALL,0.4666666666666667
MV CV,0.6333333333333334
MV_GA CV,0.7333333333333333
MV_ALL CV,0.6666666666666667
OSTACKING  CV,0.6166666666666667
OSTACKING GA CV,0.6
OSTACKING ALL CV,0.6
