Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.5833333333333333
KNN-5,0.4
KNN-5 CV,0.5499999999999999
KNN-7,0.4666666666666667
KNN-7 CV,0.45
SVC,0.4
SVC CV,0.5
NB,0.4
NB CV,0.4833333333333334
LR,0.5333333333333333
LR CV,0.5833333333333333
LDA GA,0.4
LDA GA CV,0.5833333333333333
KNN5 GA,0.6
KNN5 GA CV,0.4166666666666667
KNN7 GA,0.4
KNN7 GA CV,0.4
SVC GA,0.3333333333333333
SVC GA CV,0.55
NB GA,0.4
NB GA CV,0.5499999999999999
LR GA,0.4
LR GA CV,0.65
MV,0.4
MV_GA,0.4666666666666667
MV_ALL,0.4666666666666667
STACKING,0.4
OSTACKING ,0.4
OSTACKING GA,0.4666666666666667
OSTACKING ALL,0.4
MV CV,0.6
MV GA CV,0.3333333333333333
MV ALL CV,0.5333333333333333
OSTACKING CV,0.4
OSTACKING GA CV,0.3333333333333333
OSTACKING ALL CV,0.4
