Classifier,Success Rate
LDA,0.6
LDA CV,0.6333333333333333
SVC,0.5333333333333333
SVC CV,0.6166666666666666
NB,0.6666666666666666
NB CV,0.5666666666666667
LR,0.4666666666666667
LR CV,0.6333333333333333
LDA GA,0.6666666666666666
LDA GA CV,0.7333333333333333
SVC GA,0.4666666666666667
SVC GA CV,0.55
NB GA,0.6
NB GA CV,0.7166666666666666
LR GA,0.4666666666666667
LR GA CV,0.6666666666666666
MV,0.5333333333333333
MV_GA,0.6
MV_ALL,0.6
STACKING,0.5333333333333333
OSTACKING ,0.4666666666666667
OSTACKING GA,0.6
OSTACKING ALL,0.4
MV CV,0.6166666666666667
MV_GA CV,0.7166666666666666
MV_ALL CV,0.65
OSTACKING  CV,0.6833333333333332
OSTACKING GA CV,0.6333333333333334
OSTACKING ALL CV,0.7166666666666667
