Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.4833333333333333
SVC,0.5333333333333333
SVC CV,0.6166666666666666
NB,0.4
NB CV,0.4666666666666667
LR,0.4
LR CV,0.4666666666666667
LDA GA,0.4666666666666667
LDA GA CV,0.7
SVC GA,0.4666666666666667
SVC GA CV,0.6666666666666666
NB GA,0.3333333333333333
NB GA CV,0.6
LR GA,0.4666666666666667
LR GA CV,0.65
MV,0.4
MV_GA,0.4666666666666667
MV_ALL,0.5333333333333333
STACKING,0.4
OSTACKING ,0.5333333333333333
OSTACKING GA,0.4666666666666667
OSTACKING ALL,0.4666666666666667
MV CV,0.5666666666666667
MV_GA CV,0.6666666666666667
MV_ALL CV,0.65
OSTACKING  CV,0.6
OSTACKING GA CV,0.6166666666666667
OSTACKING ALL CV,0.65
